age,agecat,degree,educ,emailhrs,hrs1,ndegree,netcat,nethrs,sex,sphrs1,srcheng2,tvhours,usecomp,usemail,usenet,useweb,webhrs,hapmar,happy,speduc,rincome,life,income,maeduc,paeduc,marital,postlife,pres96,richwork,satjob,sibs,spdeg,spwrksta,vote96,wrkstat,zodiac,incomdol,rincdol,husbeduc,wifeduc,husbhr,wifehr,husbft,wifeft,cpldifed,prtdifed
38,2,1,12,-1,40,1,1,-1,1,-1,0,-1,1,0,0,0,-1,0,2,97,24,2,24,12,97,3,0,2,2,2,1,7,0,1,2,1,-1,-1, , , , , , , , 
54,4,1,12,-1,-1,1,1,-1,1,-1,0,6,1,0,0,0,-1,0,3,97,8,0,8,8,8,3,1,1,0,2,1,7,0,1,3,3,9000,9000, , , , , , , ,0
47,3,0,8,-1,40,0,1,-1,2,40,0,10,0,0,0,0,-1,1,2,12,1,1,10,9,12,1,1,1,1,1,1,1,1,1,1,6,13750,500,8,12,40,40,1,1,-4,3
31,2,1,13,1.25,40,1,3,1.25,2,-1,0,1,1,1,1,0,0,0,2,97,17,1,17,12,97,5,1,1,1,4,7,7,0,1,1,4,37500,37500, , , , , , , , 
60,5,2,14,.333333333333333,35,1,2,.333333333333333,1,-1,0,8,1,1,1,0,0,0,1,97,12,0,12,9,97,4,1,1,0,3,1,7,0,1,1,1,18750,18750, , , , , , , , 
36,2,2,14,3,80,1,5,13,2,-1,13,-1,1,1,1,1,10,1,2,12,18,2,18,8,97,1,0,2,2,2,5,1,7,1,1,4,45000,45000,14,12,80, ,1,0,2, 
28,1,1,13,-1,64,1,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,12,1,12,12,97,3,0,0,2,1,8,7,0,3,1,11,18750,18750, , , , , , , , 
44,3,1,12,5,37,1,4,10,1,-1,0,5,1,1,1,1,5,0,2,97,12,0,12,12,97,5,1,0,0,3,3,7,0,2,1,12,18750,18750, , , , , , , , 
24,1,1,12,-1,-1,1,1,-1,1,-1,0,7,0,0,0,0,-1,0,3,97,0,1,4,11,13,5,1,0,0,1,7,7,0,8,7,10,4500,-2, , , , , , , ,2
31,2,0,8,-1,35,0,1,-1,1,-1,0,3,0,0,0,0,-1,0,1,97,3,1,3,98,97,3,2,0,2,2,16,7,0,2,1,3,3500,3500, , , , , , , , 
45,3,1,12,-1,40,1,1,-1,2,-1,0,3,0,0,0,0,-1,0,2,97,18,0,99,12,13,3,1,1,0,1,8,7,0,1,1,2,-2,45000, , , , , , , ,1
65,5,3,16,.5,-1,2,2,.5,2,-1,0,2,1,1,1,0,0,1,2,16,0,2,21,8,97,1,1,1,0,0,4,3,7,1,5,6,82500,-2,16,16, , ,0,0,0, 
40,3,1,12,.0833333333333333,-1,1,2,.25,1,50,0,-1,1,1,1,1,.166666666666667,2,2,16,0,2,23,12,14,1,0,1,0,2,3,3,1,1,7,9,110000,-2,16,12,50, ,1,0,4,2
38,2,3,16,4,40,2,4,5,1,40,1,1,1,1,1,1,1,1,1,16,11,1,22,14,14,1,1,2,1,1,6,3,1,1,1,3,100000,16250,16,16,40,40,1,1,0,0
73,5,3,18,1,15,2,3,3,1,-1,0,-1,1,1,1,1,2,0,1,97,20,1,21,14,13,3,0,1,2,1,1,7,0,1,1,4,82500,67500, , , , , , , ,-1
31,2,4,18,1,65,2,3,3,1,45,1,1,1,1,1,1,2,1,2,18,23,0,23,12,16,1,1,1,0,2,1,4,1,1,1,4,110000,110000,18,18,45,65,1,1,0,4
34,2,3,16,2,28,2,3,2.75,1,45,0,3,1,1,1,1,.75,1,1,16,16,0,23,16,15,1,1,1,0,1,1,3,1,1,2,12,110000,32500,16,16,45,28,1,0,0,-1
26,1,3,16,10,50,2,5,12,1,-1,1,0,1,1,1,1,2,0,1,97,16,2,16,18,16,5,1,0,1,1,2,7,0,2,1,6,32500,32500, , , , , , , ,-2
38,2,1,13,-1,45,1,1,-1,1,40,0,2,0,0,0,0,-1,1,2,14,18,1,19,2,6,1,1,1,2,1,6,1,1,1,1,7,55000,45000,13,14,45,40,1,1,-1,4
29,1,3,16,20,40,2,5,50,1,-1,1,3,1,1,1,1,30,0,2,97,21,0,21,14,18,5,1,2,0,1,1,7,0,1,1,8,82500,82500, , , , , , , ,4
32,2,4,20,.5,40,2,3,2.5,2,50,1,-1,1,1,1,1,2,1,1,20,19,1,23,14,14,1,0,0,1,2,2,4,1,2,1,3,110000,55000,20,20,40,50,1,1,0,0
26,1,3,14,2,-1,2,4,7,1,40,21,3,1,1,1,1,5,2,2,17,5,0,19,16,12,1,1,0,1,0,2,3,1,2,8,2,55000,5500,17,14,40, ,1,0,3,-4
29,1,3,16,3,40,2,4,6,2,-1,0,-1,1,1,1,1,3,0,2,97,18,2,18,14,97,5,0,1,8,2,2,7,0,1,1,10,45000,45000, , , , , , , , 
37,2,4,16,2,40,2,3,2.5,2,-1,0,-1,1,1,1,1,.5,0,3,97,20,2,20,6,6,5,0,0,1,3,4,7,0,3,1,1,67500,67500, , , , , , , ,0
26,1,3,16,-1,40,2,1,-1,1,50,0,1,0,0,0,0,-1,1,1,19,15,0,16,18,12,1,1,0,0,1,1,4,1,2,1,2,32500,27500,19,16,50,40,1,1,3,-6
23,1,1,15,3.5,20,1,4,7.5,2,-1,1,2,1,1,1,1,4,0,2,97,13,2,22,16,16,5,1,0,1,2,2,7,0,3,2,8,100000,21250, , , , , , , ,0
22,1,1,12,-1,40,1,1,-1,2,-1,0,6,1,0,0,0,-1,0,2,97,11,0,11,12,97,5,1,0,1,1,2,7,0,2,1,8,16250,16250, , , , , , , , 
74,5,1,12,-1,-1,1,1,-1,2,-1,0,1,0,0,0,0,-1,0,1,97,0,1,15,98,98,2,1,0,0,3,7,7,0,2,5,5,27500,-2, , , , , , , , 
37,2,2,14,5,68,2,4,5,2,10,0,2,1,1,1,0,0,2,2,15,20,0,20,12,13,1,1,3,0,1,3,1,2,1,1,2,67500,67500,14,15,68,10,1,0,-1,1
18,1,0,11,-1,19,0,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,0,2,19,13,97,5,0,0,2,2,3,7,0,3,2,11,55000,-2, , , , , , , , 
51,4,4,20,1,75,2,5,21,2,20,1,-1,1,1,1,1,20,1,1,14,22,1,23,14,14,1,0,0,2,1,1,1,2,2,1,9,110000,100000,20,14,75,20,1,0,6,0
59,4,2,14,7,70,2,4,8,2,37,1,1,1,1,1,1,1,2,1,16,23,0,23,14,16,1,8,3,0,1,3,3,1,1,1,9,110000,110000,14,16,70,37,1,1,-2,2
52,4,1,12,-1,40,1,1,-1,2,40,0,-1,0,0,0,0,-1,3,1,11,14,1,15,12,3,1,0,0,1,1,6,1,1,2,1,9,27500,23750,12,11,40,40,1,1,1,-9
63,5,2,14,14,10,2,5,21,2,50,1,2,1,1,1,1,7,1,1,18,24,2,24,12,12,1,8,1,1,1,98,4,1,1,2,4,-1,-1,14,18,10,50,0,1,-4,0
56,4,1,12,10,40,1,5,50,1,24,99,-1,1,1,1,1,40,1,1,11,24,1,24,9,98,1,0,1,1,2,3,1,2,1,1,3,-1,-1,11,12,24,40,0,1,-1, 
25,1,3,16,.0166666666666667,37,2,3,1.01666666666667,2,-1,1,0,1,1,1,1,1,0,2,97,6,0,14,14,16,5,1,0,0,2,4,7,0,2,1,3,23750,6500, , , , , , , ,2
19,1,0,11,50,-1,0,5,70,2,-1,2,7,1,1,1,1,20,0,2,97,98,1,98,12,12,5,1,0,0,1,5,7,0,3,6,12,-2,-2, , , , , , , ,0
19,1,1,13,.0833333333333333,40,1,2,.333333333333333,2,-1,0,-1,1,1,1,1,.25,0,2,97,3,1,23,12,12,5,0,0,1,1,2,7,0,3,1,2,110000,3500, , , , , , , ,0
43,3,4,18,1,48,2,3,3,1,40,99,-1,1,1,1,1,2,2,2,16,18,1,21,16,16,1,0,2,0,1,0,3,1,1,1,6,82500,45000,16,18,40,48,1,1,-2,0
59,4,1,14,5,45,1,4,7,1,-1,98,1,1,1,1,1,2,0,1,97,16,1,98,12,12,3,1,2,0,1,6,7,0,1,1,8,-2,32500, , , , , , , ,0
45,3,3,16,.0833333333333333,40,2,5,14.0833333333333,2,-1,1,-1,1,1,1,1,14,0,2,97,24,2,24,14,14,5,0,2,0,2,4,7,0,1,1,6,-1,-1, , , , , , , ,0
36,2,3,16,5,60,2,4,7,1,40,17,1,1,1,1,1,2,1,2,17,20,1,23,18,18,1,8,1,1,3,1,4,1,1,1,10,110000,67500,17,16,40,60,1,1,1,0
45,3,4,16,15,40,2,5,25,2,40,13,2,1,1,1,1,10,1,2,14,23,0,23,10,10,1,1,0,1,2,2,1,1,3,1,4,110000,110000,16,14,40,40,1,1,2,0
71,5,3,16,10,5,2,5,35,2,-1,2,-1,1,1,1,1,25,0,2,97,23,1,23,16,14,3,0,1,1,1,1,7,0,1,2,11,110000,110000, , , , , , , ,-2
48,3,3,16,-1,40,2,1,-1,2,-1,0,3,1,0,0,0,-1,0,3,97,15,0,19,6,12,5,1,3,0,2,1,7,0,1,1,9,55000,27500, , , , , , , ,6
26,1,3,16,3,42,2,4,10,2,-1,1,-1,1,1,1,1,7,0,2,97,14,2,14,18,16,5,0,1,0,2,1,7,0,1,1,8,23750,23750, , , , , , , ,-2
52,4,1,13,-1,40,1,1,-1,2,24,0,1,0,0,0,0,-1,1,1,14,13,1,15,12,12,1,1,0,0,1,3,1,2,2,1,5,27500,21250,13,14,40,24,1,0,-1,0
75,5,3,16,-1,-1,2,1,-1,2,-1,0,4,0,0,0,0,-1,1,1,16,0,0,9,11,12,1,1,1,1,0,7,3,5,1,5,9,11250,-2,16,16, , ,0,0,0,1
42,3,3,16,20,40,2,5,40,2,-1,1,-1,1,1,1,1,20,0,2,97,19,2,19,6,6,5,0,0,2,2,4,7,0,2,1,12,55000,55000, , , , , , , ,0
89,5,1,12,-1,-1,1,1,-1,1,-1,0,3,0,0,0,0,-1,0,1,97,0,0,24,8,3,2,1,2,0,9,4,7,0,1,7,6,-1,-2, , , , , , , ,-5
74,5,1,12,-1,-1,1,1,-1,2,-1,0,-1,0,0,0,0,-1,8,2,8,0,1,16,99,98,1,0,1,0,0,1,0,5,1,5,1,32500,-2,12,8, , ,0,0,4, 
61,5,1,16,-1,-1,1,1,-1,2,-1,0,99,1,0,0,0,-1,0,2,97,0,2,19,13,97,3,2,2,0,4,2,7,0,1,5,7,55000,-2, , , , , , , , 
76,5,1,12,-1,-1,1,1,-1,2,-1,0,5,1,0,0,0,-1,1,2,13,0,2,19,12,12,1,1,2,1,0,4,1,5,1,5,11,55000,-2,13,12, , ,0,0,1,0
53,4,1,14,-1,40,1,1,-1,1,40,0,-1,0,0,0,0,-1,2,2,18,15,1,20,16,18,1,0,0,2,2,1,4,1,2,1,5,67500,27500,18,14,40,40,1,1,4,2
71,5,0,3,3,15,0,4,8,1,-1,1,-1,1,1,1,1,5,1,2,20,24,1,24,12,97,1,0,1,1,1,0,4,5,1,2,8,-1,-1,20,3, ,15,0,0,17, 
73,5,1,14,3,-1,1,3,3.75,1,-1,0,-1,1,1,1,1,.75,0,2,97,0,2,24,98,98,2,0,1,0,0,3,7,0,1,5,7,-1,-2, , , , , , , , 
42,3,1,12,-1,20,1,1,-1,1,30,0,4,0,0,0,0,-1,2,1,12,24,0,24,12,97,1,9,0,0,2,0,1,2,4,2,99,-1,-1,12,12,30,20,0,0,0, 
68,5,1,12,-1,-1,1,1,-1,1,-1,0,-1,0,0,0,0,-1,0,2,97,14,2,18,12,97,3,0,2,0,0,1,7,0,1,5,10,45000,23750, , , , , , , , 
26,1,1,16,-1,30,1,1,-1,1,-1,0,5,0,0,0,0,-1,0,3,97,8,0,8,12,14,5,1,0,0,4,2,7,0,2,1,2,9000,9000, , , , , , , ,2
59,4,4,18,-1,17,2,1,-1,1,-1,0,-1,0,0,0,0,-1,1,2,16,11,2,11,8,8,1,0,0,1,1,2,4,8,2,2,7,16250,16250,16,18, ,17,0,0,-2,0
56,4,0,11,-1,-1,0,1,-1,1,-1,0,-1,0,0,0,0,-1,0,3,97,0,2,1,3,3,4,0,0,0,0,3,7,0,8,5,9,500,-2, , , , , , , ,0
57,4,1,12,-1,-1,1,1,-1,2,-1,0,12,0,0,0,0,-1,0,9,97,0,0,98,7,7,3,1,0,0,2,8,7,0,2,7,4,-2,-2, , , , , , , ,0
37,2,4,19,15,45,2,5,30,2,40,1,-1,1,1,1,1,15,1,2,15,18,2,20,8,16,1,0,0,1,1,2,2,1,2,1,8,67500,45000,19,15,45,40,1,1,4,8
46,3,1,12,3.5,40,1,4,4.5,2,40,1,2,1,1,1,1,1,1,1,12,14,0,21,16,12,1,8,2,0,2,3,1,1,1,1,9,82500,23750,12,12,40,40,1,1,0,-4
28,1,1,13,-1,40,1,1,-1,2,-1,0,1,0,0,0,0,-1,0,2,97,19,2,19,16,18,5,2,2,1,1,2,7,0,1,1,7,55000,55000, , , , , , , ,2
54,4,4,17,2,40,2,5,17,1,-1,9,-1,1,1,1,1,15,2,2,18,19,2,21,12,12,1,0,1,2,2,2,4,5,1,1,1,82500,55000,18,17, ,40,0,1,1,0
32,2,1,14,.25,99,1,2,.333333333333333,2,48,1,2,1,1,1,1,.0833333333333333,1,1,16,2,1,23,12,14,1,1,1,1,1,5,3,1,1,2,3,110000,2000,16,14,48, ,1,0,2,2
29,1,2,15,10,-1,2,5,17,1,40,14,-1,1,1,1,1,7,2,2,13,0,2,21,14,13,1,0,3,0,2,1,1,1,1,7,4,82500,-2,13,15,40, ,1,0,-2,-1
53,4,2,14,3,44,2,4,5,1,-1,1,1,1,1,1,1,2,0,2,97,16,2,16,12,12,3,1,1,1,3,3,7,0,1,1,3,32500,32500, , , , , , , ,0
58,4,1,15,0,40,1,5,25,2,50,99,3,1,0,1,1,25,3,2,18,98,1,23,14,18,1,1,1,1,3,0,4,1,1,1,6,110000,-2,18,15,50,40,1,1,3,4
37,2,3,16,3,65,2,4,8,2,-1,1,-1,1,1,1,1,5,0,1,97,21,1,21,14,12,5,0,1,2,1,2,7,0,1,1,3,82500,82500, , , , , , , ,-2
38,2,2,15,1.5,40,2,4,5.5,1,-1,1,3,1,1,1,1,4,0,9,97,17,0,17,12,98,5,2,1,0,2,15,7,0,1,1,8,37500,37500, , , , , , , , 
39,2,2,16,2,40,2,3,2,2,-1,0,-1,1,1,1,0,0,0,3,97,16,1,16,10,14,5,0,1,1,3,5,7,0,1,1,9,32500,32500, , , , , , , ,4
38,2,1,12,-1,-1,1,1,-1,1,-1,0,3,0,0,0,0,-1,0,3,97,0,3,2,12,16,4,2,0,0,4,4,7,0,3,7,2,2000,-2, , , , , , , ,4
79,5,0,10,-1,-1,0,1,-1,1,-1,0,-1,0,0,0,0,-1,0,3,97,0,3,8,98,0,3,0,3,0,1,2,7,0,1,5,4,9000,-2, , , , , , , , 
84,5,0,11,-1,-1,0,1,-1,1,-1,0,11,0,0,0,0,-1,0,9,97,0,0,11,3,97,2,1,1,0,1,6,7,0,1,5,4,16250,-2, , , , , , , , 
47,3,1,12,3,40,1,4,8,1,-1,1,2,1,1,1,1,5,0,2,97,20,2,20,12,98,3,1,3,2,2,8,7,0,1,1,2,67500,67500, , , , , , , , 
70,5,4,17,-1,-1,2,1,-1,1,-1,0,2,1,0,0,0,-1,0,9,97,0,0,98,98,15,3,1,2,0,0,1,7,0,1,5,12,-2,-2, , , , , , , , 
54,4,1,13,-1,40,1,1,-1,1,-1,0,-1,1,0,0,0,-1,0,2,97,14,2,15,9,97,3,0,1,1,2,3,7,0,1,1,6,27500,23750, , , , , , , , 
26,1,0,14,-1,50,0,1,-1,2,-1,0,4,0,0,0,0,-1,0,9,97,19,0,19,12,99,3,1,0,0,1,3,7,0,2,1,3,55000,55000, , , , , , , , 
41,3,1,12,-1,42,1,1,-1,1,-1,0,7,0,0,0,0,-1,1,1,12,17,2,17,12,12,1,2,0,1,2,0,1,4,2,1,1,37500,37500,12,12, ,42,0,1,0,0
32,2,1,13,-1,-1,1,1,-1,1,40,0,-1,0,0,0,0,-1,2,2,11,0,2,24,13,12,1,0,0,0,2,3,0,1,2,7,5,-1,-2,11,13,40, ,1,0,-2,-1
25,1,1,14,-1,40,1,1,-1,1,-1,0,-1,1,0,0,0,-1,0,1,97,12,1,12,14,15,5,0,3,2,2,2,7,0,1,1,99,18750,18750, , , , , , , ,1
30,2,0,12,-1,30,0,1,-1,2,-1,0,10,0,0,0,0,-1,0,9,97,13,0,13,97,97,5,2,0,0,2,98,7,0,2,2,1,21250,21250, , , , , , , , 
34,2,1,12,-1,40,1,1,-1,1,60,0,2,0,0,0,0,-1,1,1,14,3,1,19,11,10,1,1,0,2,3,3,2,1,2,1,11,55000,3500,14,12,60,40,1,1,2,-1
52,4,3,16,18,-1,2,5,23,2,40,0,7,1,1,1,1,5,1,1,99,18,0,21,16,8,1,2,2,0,8,2,0,1,1,4,3,82500,45000,16, , ,40,0,1, ,-8
32,2,1,13,7,-1,1,9,-2,1,-1,99,-1,1,1,1,9,-2,0,2,97,14,1,14,13,97,5,0,1,0,2,4,7,0,1,6,10,23750,23750, , , , , , , , 
32,2,0,10,-1,40,0,1,-1,2,10,0,-1,0,0,0,0,-1,2,3,11,13,2,13,6,6,1,0,0,1,1,11,0,1,2,1,9,21250,21250,10,11,40,10,1,1,-1,0
21,1,1,12,.333333333333333,40,1,3,3.33333333333333,1,-1,0,1,1,1,1,1,3,0,2,97,0,1,1,18,16,5,1,0,1,2,6,7,0,3,1,1,500,-2, , , , , , , ,-2
35,2,1,12,-1,50,1,1,-1,2,99,0,1,0,0,0,0,-1,1,1,12,18,0,19,4,5,1,1,1,0,1,5,1,1,1,1,6,55000,45000,12,12,50, ,1,1,0,1
30,2,1,12,-1,40,1,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,14,2,17,98,14,5,0,0,1,1,2,7,0,2,1,8,37500,23750, , , , , , , , 
46,3,1,12,-1,-1,1,1,-1,2,-1,0,-1,1,0,0,0,-1,0,2,97,0,1,9,3,97,3,0,1,0,0,6,7,0,1,8,6,11250,-2, , , , , , , , 
49,3,4,17,-3,40,2,9,-3,1,-1,99,2,1,9,9,9,-3,0,2,97,0,0,20,8,6,3,8,0,0,2,2,7,0,2,1,7,67500,-2, , , , , , , ,-2
20,1,1,12,-1,40,1,1,-1,2,38,0,-1,0,0,0,0,-1,2,2,12,99,1,9,12,12,1,0,0,1,2,4,1,1,3,1,9,11250,-2,12,12,40,38,1,1,0,0
53,4,1,11,-1,-1,1,1,-1,2,48,0,15,0,0,0,0,-1,2,3,12,0,3,19,10,12,1,2,1,0,0,5,1,1,1,8,8,55000,-2,11,12, ,48,0,1,-1,2
54,4,2,13,3,40,1,5,13,1,40,0,2,1,1,1,1,10,2,2,14,13,0,19,8,97,1,8,1,0,2,8,2,1,1,1,8,55000,21250,14,13,40,40,1,1,1, 
19,1,1,12,3,-1,1,4,9,1,-1,18,-1,1,1,1,1,6,0,1,97,0,1,24,16,97,5,0,0,0,0,1,7,0,3,6,11,-1,-2, , , , , , , , 
31,2,2,12,-1,40,1,1,-1,2,-1,0,1,0,0,0,0,-1,2,2,15,16,1,16,5,6,1,1,0,1,2,4,1,7,2,1,9,32500,32500,12,15,40, ,1,0,-3,1
60,5,1,12,-1,40,1,1,-1,1,-1,0,0,0,0,0,0,-1,0,2,97,11,0,11,97,16,2,2,0,0,4,5,7,0,2,1,11,16250,16250, , , , , , , , 
51,4,3,20,.0833333333333333,-1,2,3,1.08333333333333,1,40,1,6,1,1,1,1,1,1,3,12,0,0,15,20,16,1,2,1,0,2,1,1,1,1,7,12,27500,-2,12,20,40, ,1,0,-8,-4
25,1,4,18,5,40,2,5,11,1,-1,9,-1,1,1,1,1,6,0,1,97,21,1,21,12,12,5,0,0,1,1,1,7,0,2,1,7,82500,82500, , , , , , , ,0
38,2,0,8,-1,50,0,1,-1,2,-1,0,-1,1,9,0,0,-1,0,2,97,17,1,17,16,97,5,0,1,1,2,3,7,0,1,1,7,37500,37500, , , , , , , , 
52,4,4,18,.5,-1,2,2,.5,1,40,0,1,1,1,1,0,0,1,1,16,21,0,23,12,12,1,2,4,0,1,8,3,1,1,3,11,110000,82500,16,18,40, ,1,0,-2,0
60,5,1,13,-1,-1,1,1,-1,2,40,0,-1,0,0,0,0,-1,1,1,18,0,1,20,12,16,1,0,0,0,0,2,4,1,2,5,3,67500,-2,13,18, ,40,0,1,-5,4
42,3,1,12,-1,-1,1,1,-1,1,-1,0,-1,0,0,0,0,-1,1,1,98,12,2,12,98,97,1,0,0,1,4,3,8,8,2,3,99,18750,18750, ,12, , ,0,0, , 
42,3,1,17,-1,40,1,1,-1,2,-1,0,1,0,0,0,0,-1,1,1,12,24,0,24,9,12,1,1,0,0,3,5,1,7,2,1,10,-1,-1,17,12,40, ,1,0,5,3
66,5,0,9,-1,-1,0,1,-1,1,-1,0,3,0,0,0,0,-1,0,3,97,0,0,6,2,8,3,1,1,0,0,8,7,0,1,5,12,6500,-2, , , , , , , ,6
42,3,0,9,-1,-1,0,1,-1,1,-1,0,1,0,0,0,0,-1,1,1,10,12,3,12,0,0,1,1,0,1,1,7,0,8,2,3,4,18750,18750,10,9, , ,0,0,1,0
72,5,4,16,-1,-1,2,1,-1,2,-1,0,-1,0,0,0,0,-1,1,1,12,0,1,23,8,97,1,0,2,0,2,4,1,5,1,5,4,110000,-2,16,12, , ,0,0,4, 
43,3,1,13,1,40,1,3,2,1,40,0,-1,1,1,1,1,1,1,2,12,11,2,19,6,6,1,0,0,1,3,9,1,1,2,1,1,55000,16250,12,13,40,40,1,1,-1,0
54,4,4,18,.5,55,2,2,1,2,-1,1,99,1,1,1,1,.5,0,1,97,98,2,98,16,18,5,1,1,1,2,1,7,0,1,1,9,-2,-2, , , , , , , ,2
34,2,1,12,-1,40,1,1,-1,2,-1,0,-1,0,0,0,0,-1,0,2,97,11,2,16,9,99,5,0,1,2,1,3,7,0,1,1,11,32500,16250, , , , , , , , 
24,1,1,10,-1,40,1,1,-1,2,-1,0,7,0,0,0,0,-1,0,2,97,18,0,18,12,10,5,1,1,0,0,3,7,0,1,1,99,45000,45000, , , , , , , ,-2
35,2,1,14,.25,-1,1,3,2.25,1,-1,0,-1,1,1,1,1,2,0,2,97,0,1,5,98,97,5,0,0,1,2,6,7,0,8,4,5,5500,-2, , , , , , , , 
59,4,1,12,-1,35,1,1,-1,2,25,0,4,0,0,0,0,-1,2,2,12,16,1,17,12,8,1,1,0,2,1,3,1,1,2,1,5,37500,32500,12,12,35,25,1,1,0,-4
29,1,1,12,.5,24,1,5,16.5,1,-1,0,-1,1,1,1,1,16,0,2,97,7,1,14,10,97,3,0,0,1,2,5,7,0,2,2,3,23750,7500, , , , , , , , 
25,1,1,12,0,40,1,2,.5,2,25,1,2,1,0,1,1,.5,1,1,16,24,1,24,12,12,1,1,0,1,1,2,3,2,3,1,2,-1,-1,12,16,40,25,1,0,-4,0
59,4,9,8,-1,-1, ,1,-1,1,-1,0,3,0,0,0,0,-1,0,3,97,98,0,24,6,7,2,8,0,0,2,5,7,0,3,4,99,-1,-2, , , , , , , ,1
29,1,1,12,0,40,1,2,.5,1,40,0,2,1,0,1,1,.5,1,1,12,11,0,24,9,7,1,1,0,0,1,7,1,1,2,1,3,-1,16250,12,12,40,40,1,1,0,-2
68,5,1,12,-1,-1,1,1,-1,2,35,0,-1,0,0,0,0,-1,2,1,12,0,2,24,98,12,1,0,8,0,0,3,1,1,1,5,4,-1,-2,12,12, ,35,0,1,0, 
54,4,1,13,-1,40,1,1,-1,1,-1,0,-1,0,0,0,0,-1,0,2,97,24,2,24,98,98,2,0,1,2,2,3,7,0,1,1,8,-1,-1, , , , , , , , 
40,3,3,16,2,40,2,3,2.5,1,-1,0,2,1,1,1,1,.5,0,2,97,16,0,16,12,5,5,1,1,0,1,3,7,0,1,1,12,32500,32500, , , , , , , ,-7
31,2,0,12,-1,-1,0,1,-1,1,40,0,5,0,0,0,0,-1,2,2,12,0,0,13,12,12,1,2,0,0,9,9,0,1,3,7,2,21250,-2,12,12,40, ,1,0,0,0
38,2,3,16,.5,40,2,4,5.5,1,-1,1,-1,1,1,1,1,5,1,1,16,19,8,20,16,12,1,0,0,1,3,1,3,7,3,1,7,67500,55000,16,16, ,40,0,1,0,-4
25,1,1,14,1,40,1,5,11,1,-1,1,2,1,1,1,1,10,0,1,97,18,1,18,97,12,3,8,1,2,1,2,7,0,1,1,10,45000,45000, , , , , , , , 
29,1,0,10,-1,40,0,1,-1,1,40,0,2,0,0,0,0,-1,3,2,15,24,0,24,12,99,1,1,0,0,3,12,1,1,2,1,1,-1,-1,15,10,40,40,1,1,5, 
52,4,3,16,5,40,2,4,5.5,2,-1,0,-1,1,1,1,1,.5,3,2,12,24,1,24,12,97,1,0,0,1,1,7,1,4,2,1,4,-1,-1,16,12,40, ,1,0,4, 
45,3,1,14,-1,20,1,1,-1,1,20,0,2,0,0,0,0,-1,2,2,14,24,2,24,14,8,1,8,0,1,2,3,2,2,3,2,9,-1,-1,14,14,20,20,0,0,0,-6
64,5,4,19,-1,-1,2,1,-1,1,-1,0,-1,0,0,0,0,-1,2,2,19,0,2,24,12,12,1,0,0,0,9,1,4,5,2,7,6,-1,-2,19,19, , ,0,0,0,0
42,3,4,16,.5,70,2,2,1,2,40,0,1,1,1,1,1,.5,1,2,16,18,0,21,16,97,1,2,0,0,3,5,3,1,2,1,6,82500,45000,16,16,70,40,1,1,0, 
62,5,1,12,-1,15,1,1,-1,1,-1,0,-1,0,0,0,0,-1,0,2,97,6,2,11,8,98,2,0,1,2,2,8,7,0,1,2,11,16250,6500, , , , , , , , 
32,2,0,11,-1,-1,0,1,-1,1,-1,0,-1,0,0,0,0,-1,0,2,97,0,2,7,14,97,4,0,1,0,3,2,7,0,1,7,3,7500,-2, , , , , , , , 
62,5,0,8,-1,-1,0,1,-1,1,-1,0,8,0,0,0,0,-1,0,2,97,0,0,6,0,98,2,8,0,0,0,17,7,0,2,8,7,6500,-2, , , , , , , , 
31,2,1,12,-1,40,1,1,-1,1,-1,0,2,0,0,0,0,-1,0,2,97,10,2,10,12,97,5,8,1,1,2,6,7,0,1,1,99,13750,13750, , , , , , , , 
32,2,0,10,-1,-1,0,1,-1,1,-1,0,2,0,0,0,0,-1,0,2,97,0,1,24,98,97,5,1,0,0,9,4,7,0,2,7,10,-1,-2, , , , , , , , 
27,1,3,14,-1,40,2,1,-1,1,-1,0,0,0,0,0,0,-1,0,1,97,24,0,24,10,97,5,1,1,0,2,9,7,0,1,1,4,-1,-1, , , , , , , , 
21,1,1,13,0,-1,1,3,2,2,-1,1,2,1,0,1,1,2,0,2,97,0,0,98,18,18,5,8,0,0,1,2,7,0,3,6,1,-2,-2, , , , , , , ,0
70,5,3,14,-1,4,2,1,-1,1,15,0,3,0,0,0,0,-1,1,2,16,24,2,24,12,12,1,1,1,1,1,0,3,2,1,2,2,-1,-1,16,14,15,4,0,0,2,0
48,3,1,12,0,10,1,4,5,1,50,0,3,1,0,1,1,5,8,1,16,4,1,19,4,12,1,1,0,2,2,8,3,1,2,2,2,55000,4500,16,12,50,10,1,0,4,8
44,3,1,14,2,-1,1,3,4,1,50,0,2,1,1,1,1,2,1,2,16,17,0,21,12,97,1,8,2,0,1,3,2,1,1,4,8,82500,37500,16,14,50, ,1,0,2, 
36,2,3,14,35,50,2,5,55,1,56,0,2,1,1,1,1,20,2,1,16,18,0,19,14,13,1,1,0,0,2,2,3,1,2,1,12,55000,45000,16,14,56,50,1,1,2,-1
29,1,4,16,3,50,2,5,13,2,-1,17,10,1,1,1,1,10,0,2,97,8,1,9,20,97,5,1,1,1,1,0,7,0,1,2,8,11250,9000, , , , , , , , 
